output,dsr,dsw,nbr,nbs,cpuusr,cpukrn,cpuidle,cpuIoWait,cIntSrvc,cSftIntSrvc,cCtxtSw,cpuNice,cpuSteal,dskRds,dskMrgdRds,dskReadTm,dskWrts,dskMrgdWrts,dskWrtTm,ldAvg,time
26840,0,1088,48401,86382,23905,440,7976,0,0,1,57281,0,1,0,0,0,81,55,8,5.63,81
27007,0,1216,47844,85266,23883,431,7984,1,0,0,56508,0,2,0,0,0,85,67,20,5.84,81
26502,0,1200,47587,84891,23790,504,7897,0,0,0,56560,0,32,0,0,0,85,65,4,4.9,81
26926,0,1160,47639,84795,23878,427,7931,0,0,1,56015,0,0,0,0,0,85,60,4,5.44,81
26900,0,1200,50641,90042,23899,495,8118,1,0,0,57846,0,16,0,0,0,87,63,12,5.37,82
26725,1328,1376,52823,95236,23895,461,8790,4,0,1,59398,0,22,17,0,124,99,73,8,4.78,83
26675,1328,1336,52855,95126,23816,550,9059,4,0,2,61069,0,42,17,0,52,98,69,4,4.79,83
26798,1328,1336,54771,98690,23861,508,8891,0,0,1,61578,0,1,17,0,76,99,68,12,4.38,83
26509,1328,1360,53713,96860,23762,612,9014,4,0,1,61365,0,49,17,0,224,100,70,0,4.82,83
26719,1328,1248,50923,91288,23859,514,8413,1,0,1,60012,0,1,17,0,32,93,63,24,4.9,82
26751,1328,1328,53231,94993,23836,561,9014,2,0,1,60954,0,2,17,0,40,95,71,4,4.88,84
27040,1328,1408,54755,97956,23938,476,9036,2,0,1,61778,0,5,17,0,60,97,79,4,4.49,84
27053,1328,1384,54939,97866,23896,523,8401,1,0,1,61358,0,1,17,0,36,95,78,4,4.85,82
25945,1328,1384,52927,94602,23782,623,7906,2,0,1,60918,0,42,17,0,52,94,79,0,4.98,81
26963,1328,1464,51231,91101,23833,617,8930,2,0,2,60016,0,46,17,0,72,105,78,4,4.71,84
26789,1328,1376,56611,101978,23900,502,8221,3,0,1,62866,0,0,17,0,80,99,73,4,5.19,82
26811,1328,1280,54708,98499,23904,499,8511,2,0,1,61979,0,1,17,0,64,96,64,0,5.28,82
26910,1328,1288,54603,98144,23880,525,8265,3,0,0,61797,0,1,17,0,72,97,64,4,4.82,82
25875,1328,1272,53745,96259,23925,467,8234,2,0,1,61459,0,1,17,0,60,95,64,4,4.83,82
26353,1328,1368,53007,95167,23876,485,7585,3,0,1,59760,0,2,17,0,60,94,77,0,5.33,80
26759,0,1176,48325,86613,23856,419,6811,0,0,1,57177,0,8,0,0,0,83,64,8,4.81,77
27007,0,1200,48890,87839,23868,478,7754,0,0,0,57979,0,8,0,0,0,86,64,20,4.82,80
27000,0,1144,49515,88590,23853,475,7660,0,0,1,57026,0,2,0,0,0,84,59,12,4.81,80
27020,0,1200,48939,87790,23872,451,7604,0,0,2,57675,0,2,0,0,0,86,64,4,4.71,80
26874,0,1192,48273,86367,23806,519,7664,0,0,1,57103,0,35,0,0,0,85,64,0,4.79,80
27152,1328,1312,51097,90421,23918,448,7189,2,0,0,57200,0,2,17,0,76,92,72,8,4.73,79
27186,1328,1312,50889,90907,23918,441,7353,3,0,2,58568,0,2,17,0,88,90,74,4,5.21,79
27151,1328,1360,50635,90167,23881,467,7306,3,0,2,58173,0,4,17,0,144,92,78,20,5.34,79
27113,1328,1264,49185,86973,23920,437,7276,2,0,0,57061,0,1,17,0,36,88,70,8,5.33,79
26847,1328,1320,49842,88623,23873,521,7214,4,0,1,57862,0,38,17,0,176,91,74,8,5.34,79
26927,1328,1448,48760,86714,23819,553,8660,3,0,1,59278,0,22,17,0,140,100,81,0,4.52,83
27044,1328,1368,51343,91779,23901,473,8399,0,0,1,59455,0,1,17,0,76,92,79,0,5.13,82
26979,1328,1392,51858,92122,23908,501,8267,2,0,0,60165,0,3,17,0,44,101,73,0,4.82,82
26945,1328,1288,50839,90259,23934,457,8467,2,0,0,60879,0,1,17,0,72,89,72,4,4.88,82
27010,1328,1304,51107,91396,23894,450,8536,1,0,1,58240,0,1,17,0,28,91,72,0,4.44,83
26792,1328,1280,54372,97819,23816,605,7801,3,0,1,62007,0,31,17,0,72,96,64,4,4.87,80
26589,1328,1280,51761,93384,23848,510,7494,2,0,2,60434,0,4,17,0,24,95,65,16,4.26,79
25283,1328,1296,53082,94861,23769,561,7844,2,0,1,60094,0,126,17,0,68,93,69,4,4.8,80
26141,1328,1496,58332,104874,23885,579,9709,2,0,4,64700,0,1,17,0,28,105,82,16,4.42,85
26855,1328,1312,54624,98753,23870,494,7752,3,0,1,60712,0,1,17,0,64,99,65,0,4.72,80
